iter	Logloss
0	0.6873060432
1	0.678204968
2	0.6687915427
3	0.660881118
4	0.6535200624
5	0.6444973855
6	0.6393345175
7	0.6305777664
8	0.622592654
9	0.6129994604
10	0.6055575897
11	0.5980262871
12	0.5907356625
13	0.5823445261
14	0.5754958595
15	0.5679853214
16	0.5601767137
17	0.5528089614
18	0.54516952
19	0.5420166854
20	0.5355281677
21	0.5271430705
22	0.5232531311
23	0.5182309515
24	0.5127808771
25	0.5054654814
26	0.4995381408
27	0.4935652786
28	0.4908391142
29	0.484415652
30	0.4781809637
31	0.4738850164
32	0.4700091322
33	0.4663765056
34	0.4621781701
35	0.4574490021
36	0.454985425
37	0.4506540168
38	0.4447777279
39	0.4399588625
40	0.4353312659
41	0.4317162119
42	0.426561236
43	0.4231300474
44	0.4195376007
45	0.4160998002
46	0.4121917151
47	0.4088338647
48	0.4053880403
49	0.4014410848
50	0.3992152825
51	0.3958440334
52	0.3916169236
53	0.3887483793
54	0.3848309478
55	0.3810914804
56	0.376980056
57	0.3747298557
58	0.3713416088
59	0.3688130708
60	0.3652834605
61	0.3615144608
62	0.3582744013
63	0.3561607285
64	0.3523704967
65	0.3493784705
66	0.3488183798
67	0.346271078
68	0.3444548892
69	0.3416244446
70	0.3398471744
71	0.3380970408
72	0.3363248712
73	0.333745535
74	0.3316501509
75	0.3298322024
76	0.3271627276
77	0.3249150518
78	0.3233488478
79	0.3212474772
80	0.3191399388
81	0.3188336751
82	0.3175313869
83	0.3162972772
84	0.3151237801
85	0.3132180648
86	0.3123070345
87	0.3105143129
88	0.3092269951
89	0.3076913811
90	0.3052760335
91	0.3030253899
92	0.3009053563
93	0.2993421095
94	0.2980575651
95	0.2958719346
96	0.2950267454
97	0.2938207987
98	0.2918770291
99	0.2905325801
100	0.2890014371
101	0.2872488591
102	0.2858639462
103	0.2841663545
104	0.2840264471
105	0.2826449786
106	0.2812944728
107	0.279066157
108	0.2772378154
109	0.2762988516
110	0.2747592674
111	0.27272798
112	0.2714607494
113	0.2703270886
114	0.2686701788
115	0.2668562288
116	0.2661596136
117	0.2643920203
118	0.262686515
119	0.261462069
120	0.2601189186
121	0.2592498026
122	0.2579715997
123	0.2568493824
124	0.2560076046
125	0.2544797821
126	0.2537029728
127	0.2524106992
128	0.2510087322
129	0.2500492789
130	0.2485060557
131	0.2479408036
132	0.2472507811
133	0.2463121043
134	0.2445042573
135	0.2434571636
136	0.2424200988
137	0.2415161819
138	0.2404637618
139	0.2390864742
140	0.23837425
141	0.2372982234
142	0.2363000824
143	0.2353793252
144	0.2345172746
145	0.2340168772
146	0.2323600435
147	0.2313491632
148	0.230462141
149	0.2296151933
150	0.2282253098
151	0.2277891629
152	0.2266901253
153	0.2256004931
154	0.2246575684
155	0.2243041695
156	0.2237824319
157	0.2226070599
158	0.2216411026
159	0.2208626517
160	0.2197706185
161	0.2190190159
162	0.2181505303
163	0.2179097544
164	0.2172453118
165	0.2165683674
166	0.2159173881
167	0.2144173068
168	0.2136190967
169	0.2131810349
170	0.2126525259
171	0.2118064291
172	0.2107777156
173	0.210015502
174	0.2092720857
175	0.2087199523
176	0.2080288935
177	0.2071607936
178	0.2067291641
179	0.2063759635
180	0.205580869
181	0.2048062837
182	0.2039901134
183	0.2036409319
184	0.2031666296
185	0.2022181528
186	0.2014979955
187	0.200863126
188	0.2000668544
189	0.1992196283
190	0.1985670379
191	0.1980955674
192	0.1977746936
193	0.1972317957
194	0.1966912588
195	0.1960007409
196	0.1959718846
197	0.1953079576
198	0.1947502326
199	0.1938213378
200	0.1929478778
201	0.1921182213
202	0.191256235
203	0.1906975523
204	0.1902340837
205	0.1895139163
206	0.1891598475
207	0.1886200167
208	0.1877892525
209	0.1872090045
210	0.1865033258
211	0.1864980876
212	0.1857267814
213	0.1850242803
214	0.184444803
215	0.1840980527
216	0.1831972015
217	0.1826935833
218	0.1821421312
219	0.1817600926
220	0.1810432337
221	0.1805657707
222	0.1796221998
223	0.1787682214
224	0.1780937302
225	0.1775700209
226	0.1768847753
227	0.1762922312
228	0.175958362
229	0.1750069776
230	0.1744889743
231	0.1740965034
232	0.1731465423
233	0.1726175796
234	0.1720414813
235	0.1716679065
236	0.1712824185
237	0.1709942081
238	0.1706336527
239	0.1699474132
240	0.1699231575
241	0.1693268262
242	0.1688847629
243	0.1683858068
244	0.1680920101
245	0.1677354856
246	0.1673736385
247	0.1669364675
248	0.1667250438
249	0.1663009228
250	0.1658064436
251	0.1654195352
252	0.1649781225
253	0.1645729742
254	0.1639497585
255	0.1634166589
256	0.1628369601
257	0.16250188
258	0.1621256118
259	0.1617350809
260	0.1613028406
261	0.1612935418
262	0.1608442375
263	0.1604371355
264	0.1601956314
265	0.1594587514
266	0.1590588986
267	0.1586427002
268	0.158323904
269	0.1577621551
270	0.157243305
271	0.1565451031
272	0.1561057572
273	0.1557146797
274	0.1552341939
275	0.155017498
276	0.154462392
277	0.1544400133
278	0.1539262542
279	0.1536261505
280	0.1530807744
281	0.152750125
282	0.1524364106
283	0.1520511717
284	0.1516791392
285	0.1511888632
286	0.1509320938
287	0.1503253848
288	0.1496781962
289	0.1493346879
290	0.1487537866
291	0.1485556565
292	0.1483815777
293	0.1480827273
294	0.1475674104
295	0.1475619536
296	0.1472494594
297	0.1468853066
298	0.1465394596
299	0.1460190854
300	0.1457166406
301	0.1453977245
302	0.1452018047
303	0.1447122476
304	0.1442075075
305	0.1437987031
306	0.1434724389
307	0.1431269211
308	0.1426286364
309	0.1423881165
310	0.1420877155
311	0.1417685135
312	0.14105797
313	0.1405861304
314	0.1405804949
315	0.1401546315
316	0.1397487211
317	0.1396244016
318	0.1393442723
319	0.1390057055
320	0.1385590778
321	0.1385089006
322	0.1382567782
323	0.1380670317
324	0.1376209673
325	0.1370909514
326	0.1369162075
327	0.136624735
328	0.136228071
329	0.1358226441
330	0.1353485773
331	0.1348866778
332	0.1348677904
333	0.1345464929
334	0.1342994492
335	0.1338928764
336	0.1334082588
337	0.132871754
338	0.132497046
339	0.1322438292
340	0.1317512038
341	0.1313260307
342	0.13104798
343	0.1307633087
344	0.1305227435
345	0.1303237215
346	0.1300657183
347	0.1295669425
348	0.1291435125
349	0.1289281451
350	0.1283956648
351	0.1280199411
352	0.1277503075
353	0.1275821373
354	0.1269628418
355	0.1265718151
356	0.1262809182
357	0.1259928935
358	0.1257972118
359	0.1252621536
360	0.1248603478
361	0.1244435003
362	0.1241135051
363	0.1237282313
364	0.1237171447
365	0.1235795604
366	0.1231810082
367	0.1229867949
368	0.122704873
369	0.1224716198
370	0.1221994246
371	0.1218715122
372	0.1214187117
373	0.1210501838
374	0.1208123177
375	0.1202047454
376	0.1198088638
377	0.11958487
378	0.1193274379
379	0.1191263773
380	0.1187150858
381	0.1185409626
382	0.1183447075
383	0.1180226554
384	0.1177966565
385	0.1175574073
386	0.1173918788
387	0.117156051
388	0.1171413538
389	0.1170289552
390	0.1166372023
391	0.1163868895
392	0.1161192036
393	0.115909301
394	0.1155545201
395	0.1153414989
396	0.1150715995
397	0.1149307453
398	0.1146754763
399	0.1145254005
400	0.1143973646
401	0.1142136022
402	0.1141995519
403	0.1137372122
404	0.1132297879
405	0.1130350242
406	0.1127521218
407	0.1123522021
408	0.1122131981
409	0.1119181184
410	0.1116191739
411	0.1114087804
412	0.1110793647
413	0.1109619421
414	0.1107689741
415	0.1104980195
416	0.1102057857
417	0.1100113416
418	0.1097569995
419	0.1095157331
420	0.1091941314
421	0.1090126067
422	0.1088828573
423	0.108421696
424	0.1081952916
425	0.1076839551
426	0.1075909759
427	0.107389062
428	0.1072422153
429	0.1069136304
430	0.1065989418
431	0.1063378544
432	0.1062105214
433	0.1060090568
434	0.1059991989
435	0.1057244525
436	0.1054687032
437	0.1053041456
438	0.1048825344
439	0.1045525031
440	0.1044073862
441	0.1042848536
442	0.1042775384
443	0.1042706627
444	0.1040925374
445	0.103858849
446	0.1035952765
447	0.1033588417
448	0.1031017118
449	0.1029471411
450	0.1028063616
451	0.1027033435
452	0.1024271959
453	0.1022518824
454	0.1020392545
455	0.1015950018
456	0.1013305414
457	0.1011034849
458	0.1008345643
459	0.1006941992
460	0.1006798862
461	0.1005024285
462	0.1003114119
463	0.09999835566
464	0.09976576989
465	0.09942982271
466	0.09926485808
467	0.09889498395
468	0.09876728529
469	0.09831829525
470	0.0981116583
471	0.09800738755
472	0.09759266933
473	0.0972650149
474	0.09675069298
475	0.09655900667
476	0.09624056029
477	0.09615538116
478	0.096083474
479	0.09600420716
480	0.09581412283
481	0.09563368785
482	0.09545071019
483	0.09518367874
484	0.09483363229
485	0.09471752578
486	0.09451344257
487	0.09424681902
488	0.09408216491
489	0.0939041971
490	0.09370871117
491	0.09361299959
492	0.09329815198
493	0.09308580654
494	0.09292769331
495	0.09254443076
496	0.09244465655
497	0.0924421291
498	0.09242308527
